၁မည်းတော်,ခမည်းတော်
အဆေခင်ပွန်း,အဆွေခင်ပွန်း
အညီအညွှတ်,အညီအညွတ်
အတယ်ပါနည်း,အဘယ်ပါနည်း
အတုင်းအပြင်,အတွင်းအပြင်
အထောကဲအထား,အထောက်အထား
အဓိပ္ပာယီ,အဓိပ္ပာယ်
အနျို့သော,အချို့သော
အနှာရမ္ဘ,အနာရမ္ဘ
အနာဂဟ််,အနာဂတ်
အနုတ္တဝါဒ,အနတ္တဝါဒ
အနုပသမ္ပဇ္ဇ,အနုပသမ္ပန္န
အပြခ်,အပြစ်
အပဲသော,အပ်သော
အဖြစဲ,အဖြစ်
အမြီ,အမြဲ
အသင်္က,အသက်
အသာဓရဏ,အသာဓာရဏ
အိပဲရာ,အိပ်ရာ
ဣဒ္ဒိ,ဣဒ္ဓိ
ဥက္ခတ္တက,ဥက္ခိတ္တက
ဥဒ္ဒိသိဿမိ,ဥဒ္ဒိသိဿာမိ
ဥပါတကာ,ဥပါသကာ
ဥပုသဲ,ဥပုသ်
ဧကုန်,ဧကန်
ဧနီး,ဇနီး
ာငဲ့,ာင့်
ဲး,်း
